 time idA idB label
0 0 13 0 1
1 89 7 13 0
2 563 14 13 1
3 1774 2 13 3
4 2317 22 13 1
5 3105 19 13 1
6 3773 24 13 0
7 4669 4 13 3
8 4814 11 13 0
9 5539 11 13 1
10 6485 18 13 0
11 7010 3 13 0
12 7295 26 13 0
13 7723 17 13 0
14 11028 5 13 0
15 2530 12 14 0
16 2825 13 12 0
17 3083 14 12 0
18 3099 14 13 0
19 3124 14 13 0
20 3241 13 14 0
21 3395 12 13 0
22 3556 23 12 0
23 14607 14 12 1
24 14163 21 23 0
25 15478 23 21 0
26 15661 21 23 0
27 15738 14 23 0
28 15795 14 21 0
29 15776 23 14 0
30 3737 20 14 0
31 15132 14 20 0
32 1913 8 2 0
33 1977 2 8 3
34 3751 9 22 0
35 3954 22 9 0
36 4501 13 24 1
37 5435 24 13 0
38 5718 13 24 0
39 6655 24 13 0
40 6896 13 24 0
41 8229 26 24 0
42 5040 10 11 0
43 5271 13 11 0
44 5301 11 10 0
45 5535 10 11 0
46 5657 11 10 1
47 5911 13 11 0
48 5925 6 11 0
49 5976 10 13 0
50 6035 16 13 0
51 5325 10 13 0
52 5762 25 13 0
53 5908 25 13 0
54 5978 25 13 0
55 6052 1 13 0
56 6081 25 13 0
57 8135 27 13 0
58 9045 27 13 0
59 9077 27 13 0
60 5920 10 25 3
61 6040 13 25 0
62 9592 13 27 0
63 9721 27 13 0
64 9751 27 13 0
65 9764 27 13 0
66 7552 17 18 0
67 7673 15 18 0
68 7599 18 17 0
69 8014 17 18 0
70 7783 18 15 0
71 8113 13 18 0
72 8221 18 13 0
73 7573 13 26 0
