time idA idB label
0 12 0 1
52 6 12 2
406 25 12 0
440 5 12 0
497 37 12 0
557 18 12 0
658 26 12 0
865 17 12 0
1061 34 12 0
1081 26 12 0
1220 19 12 0
1411 11 12 3
1991 22 12 0
2023 31 12 0
2085 15 12 0
3198 2 12 0
3209 29 12 0
3275 20 12 0
3805 23 12 0
4042 21 12 2
4286 33 12 2
5929 38 12 0
6036 16 12 2
7146 7 12 0
7421 13 12 2
7875 14 12 3
9209 10 12 0
9777 28 12 0
12067 39 12 0
12202 35 12 0
15035 32 12 0
15883 36 12 1
25825 3 12 0
27413 24 12 0
35289 1 12 2
35741 1 12 1
58370 9 12 2
67450 30 12 0
77671 40 12 2
97530 41 12 0
12187 39 5 0
30409 4 17 0
1967 27 11 3
18735 8 11 2
2027 11 27 0
